route_id,num_stops,nn_time_seconds,nn_violations,algo_time_seconds,algo_violations,actual_time_seconds,actual_violations,algo_passes_run
RouteID_9ce33a6d-06c7-4ece-9e33-50ecf65e04b8,148,30980.7,4,31541.2,0,30432.1,2,3
RouteID_f0f30bd9-5127-4702-a4c2-f32de14440b5,141,28642.4,6,27096.7,0,28325.7,0,4
RouteID_afd2b0cd-8682-4dd9-a503-c0f80757ebf4,139,23423.9,0,21725.2,0,22834.8,0,5
RouteID_9face60f-ed2d-42bf-9a48-215ce09d17de,208,24301.9,4,24834.0,0,25059.0,4,4
RouteID_d3c26f8b-9364-430f-9776-46b5b8014ee8,184,30072.3,2,29097.4,0,29450.0,1,3
RouteID_f3e23ae0-1761-4e50-b44b-c88eed709402,138,25833.0,2,26056.2,0,25848.6,0,4
RouteID_187caca1-1b53-4bbc-aab3-9bc8addf5470,179,27560.9,4,26519.7,0,27711.6,0,6
RouteID_54566faa-4623-4f86-ae27-0e7d24e96b3b,139,26426.0,3,26633.5,0,27124.6,1,4
RouteID_5ee528fb-5046-4f84-9d0a-f7cc827c87fa,175,27284.9,0,25744.4,0,27164.5,0,5
RouteID_415b6fc0-4a88-4b33-ac11-c292b80aa00f,179,31932.7,0,30637.7,0,31305.0,0,4
RouteID_554fc365-f78e-4224-8ad1-72c1bfb2e910,99,27936.0,6,26866.4,0,27008.8,0,4
RouteID_0b855834-e4da-4fce-9935-9c1fa2629315,154,24358.9,2,24831.5,0,26563.2,1,3
RouteID_9b32b3ae-862b-4121-bb5b-3ecb2f0487dd,182,29273.8,2,29626.8,0,28724.8,1,4
RouteID_5b6fc875-52db-4555-a0fb-bfad00788996,167,25289.8,1,25590.5,0,25191.7,0,3
RouteID_259368c2-15b0-4b15-91d4-61c16fd3b649,128,27704.7,0,25559.5,0,28391.5,0,3
RouteID_cfd4c198-959a-462f-bcb9-e7b3944483bd,104,24137.5,2,24552.7,0,25507.7,0,3
RouteID_59d024af-760e-45ea-a720-903d7ff67109,177,30031.5,0,28563.9,0,29114.9,0,5
RouteID_18bc79d0-cf46-4acc-accb-dde9810fb9da,166,27597.8,1,27189.5,0,26463.5,0,4
RouteID_365dcd65-1bcd-4089-a25f-5d63767c66a8,160,22630.5,0,20555.6,0,24972.9,7,3
RouteID_37e2ba04-42ef-4d3f-9cd3-bd1e924792cb,114,26519.4,0,25794.0,0,25879.5,0,4
RouteID_02a11297-d6d0-47cd-a802-5c42867381fa,115,20466.9,27,20335.8,0,20785.7,3,5
RouteID_148eba24-2dfc-4911-88a2-eaa758f633a1,161,27473.3,0,25357.2,0,26854.5,0,4
RouteID_f9dad277-5723-4c75-8ea8-62731ac32b58,161,26219.6,23,26012.2,0,25944.3,2,4
RouteID_6ff94b76-44d6-4888-9bbd-64fb2bc870e8,143,26440.7,1,27053.5,0,25629.4,0,4
RouteID_07e31b9c-198c-4a2d-aee8-9c5dab86b782,67,24201.3,1,24039.1,0,24219.3,0,3
RouteID_6c606721-7099-4f6e-9175-aa150aa57c42,179,30132.7,2,30990.3,0,30552.0,0,6
RouteID_cd0bb501-c044-41ea-8933-e33162e8ec22,190,25196.2,1,24626.0,0,24176.0,0,5
RouteID_fb76db03-42c9-469f-ba04-fdcead32be60,122,27505.8,8,27640.1,0,27534.0,0,7
